id,text,Joy,Fear,Anger,Sadness,Surprise
eng_train_track1_048,"**Elderly man**: Well, there's a lot of them colored folks working there, and I just didn't feel safe leaving it with them.",0,1,1,1,0
eng_train_track1_049,Posted by Melissa at 10:29 AM Atrial Fibrillation Revisit At the end of lunch on Tuesday I felt my heart start racing.,0,1,0,0,0
eng_train_track1_050,I am so afraid of sleeping on my back that I don't sleep well during the night.,0,1,0,0,0
eng_train_track1_051,She left in a huge hurry leaving me with the overflowing toilet after her giant dump.,0,1,1,0,1
eng_train_track1_052,The gust grew stronger and stronger till I felt I was about to be lifted from my feet.,0,1,0,0,1
eng_train_track1_053,It's not even a conscious thing.,0,0,0,0,1
eng_train_track1_054,"I stirred the surface of the water with my hand; my face wiped away, only to reform when the mirror settled down again.",0,1,0,0,1
eng_train_track1_055,I began to feel the all-too-familiar feeling that I my heart was being ripped from my chest.,0,1,0,1,0
eng_train_track1_056,"I dragged my feet home after a tired day in school ( oh man, it's only the first day! )",0,0,0,1,0
eng_train_track1_057,Blotted out the moon.,0,1,0,0,1
eng_train_track1_058,"but, within seconds i regained myself and pulled off the rings on my fingers and went after the manic destroying all perceptions of herself.",0,0,1,0,0
eng_train_track1_059,Four hours had passed.,0,0,0,0,0
eng_train_track1_060,"""Jeff what is that?",0,1,0,0,1
eng_train_track1_061,A week later he had a girlfriend.,1,0,0,1,1
eng_train_track1_062,I think my eyes shut immediately after my head hit that pillow.,1,0,0,0,0
eng_train_track1_063,But regardless of that... I know something is wrong in my head.,0,1,0,1,0
eng_train_track1_064,I will lose sleep.,0,1,0,1,0
eng_train_track1_065,He begged the nurse not to leave him.,0,1,0,1,0
eng_train_track1_066,I struggle to make out the images my eyes begin to pick up.,0,1,0,0,0
eng_train_track1_067,I will never forget hat day.,0,0,0,1,1
eng_train_track1_068,The effect was a feeling I've described as running my hand along a cheese grater.,0,1,0,1,0
eng_train_track1_069,i think ) into my skin to make the wound bigger then squeezed everything out.,0,1,0,1,0
eng_train_track1_070,"But here I am sitting at my computer at work, when I begin to relive the whole episode over in my head.",0,1,0,1,0
eng_train_track1_071,"This is typical, as they need to justify their existence.",0,0,1,0,0
eng_train_track1_072,"I moved my arms, stretching the muscles, watching ribbons of flesh dance around skin and bone.",1,0,0,0,0
eng_train_track1_073,He wasn't fucking with me either.,0,0,1,0,0
eng_train_track1_074,He gave me my love of science and education.,1,0,0,0,0
eng_train_track1_075,"I know most of you will find it hard to believe but, this is my story.",0,1,0,0,1
eng_train_track1_076,**The Rational Part of My Brain:** I will not click this.,0,1,0,0,0
eng_train_track1_077,"wishing i had triple a, i stick out my thumb.",0,0,0,0,0
eng_train_track1_078,That's super weird.,0,1,0,0,1
eng_train_track1_079,"Everyone was rather distraught, as he was widely liked and respected.",0,1,0,1,0
eng_train_track1_080,I though nothing of it until I turned out the lights.,0,1,0,0,1
eng_train_track1_081,"The weather up there are super cozy, I went to wash my hand, the water are freezing!!!",0,1,0,0,0
eng_train_track1_082,I always wanted to see one.,1,0,0,0,1
eng_train_track1_083,Isn't that... Oh I don't know... Against the Bill of Rights?,0,1,1,0,1
eng_train_track1_084,"she is so intrusive in my life, I have issues at work.",0,1,1,1,0
eng_train_track1_085,After having a couple different catheters in my chest for the last two years.,0,1,0,1,0
eng_train_track1_086,(It was pretty bad).,0,1,0,1,0
eng_train_track1_087,"We were both quiet, and I closed my eyes.",0,0,0,0,0
eng_train_track1_088,The house is trashed.,0,1,1,1,0
eng_train_track1_089,"I arrived at Penny's doorstep, tears streaming down my face.",0,1,0,1,0
eng_train_track1_090,"My head whipped around, and there it was.",0,1,0,0,1
eng_train_track1_091,"He was about 5% blockage away from the widow maker, and also suffered a minor stroke.",0,1,0,1,1
eng_train_track1_092,"Makeing a sorta clam shell, or like someone praying but sideways., around my clentched fist.",0,1,0,0,0
eng_train_track1_093,"I would be about 10 maybe, anyway i was out with my mom , dad and sister.",1,0,0,0,0
eng_train_track1_094,Could be wrong though.,0,1,0,0,0
eng_train_track1_095,My roommate was asleep in his bed.,0,0,0,0,0
eng_train_track1_096,You might actually say they're almost angelic....,1,0,0,0,1
eng_train_track1_097,One time she showed up to my door wearing a long coat and nothing but stockings and heels underneath.,0,1,0,0,1
eng_train_track1_098,"Kinda freaky, but it never struck me deep.",0,1,0,1,1
eng_train_track1_099,Maybe I need to take a full day of rest and not do anything exercise-related for one day to help my legs feel better.,0,1,0,1,0
eng_train_track1_100,I love telling this story.,1,0,0,0,0
eng_train_track1_101,"There was years of ""stuff"" in the house.",0,0,0,1,1
eng_train_track1_102,I then pushed myself up using my arms.,0,0,0,0,0
eng_train_track1_103,"Lots of lies, deceit, and manipulation.",0,1,1,1,0
eng_train_track1_104,I quickly look behind the trees and the other 'moon' is gone.,0,1,0,0,1
eng_train_track1_105,he got pretty fucking scared and started sprinting away from me.,0,1,0,0,1
eng_train_track1_106,"Was a routine trip, 11 miles to RWC motoring and into a southerly wind, more wind than we saw during race time and with the sun straight in my eyes most of the way down.",0,1,0,0,0
eng_train_track1_107,"The air is so clear it stings my lungs, which have for months been choked by dust and diesel from the streets of Kabul.",0,1,0,0,0
eng_train_track1_108,Grandmother touches my hand.,1,0,0,0,0
eng_train_track1_109,I followed the direction it went thinking it was my friend.,0,1,0,0,1
eng_train_track1_110,I rolled my eyes.,0,0,1,0,0
eng_train_track1_111,"Sitting around a few years ago with about 5 friends at my best friends house, i'm watching someone play ps2 and i notice a hand reach out from between the t.v.",0,1,0,0,1
eng_train_track1_112,"`` Out of my mouth came, `` I didn't see Creepy... `` First of all my brain did not process, that I was trying to even say anything.",0,1,0,0,1
eng_train_track1_113,"The stranger is left speechless, confused, and strangely proud.",1,1,0,0,1
eng_train_track1_114,"My arms dip a little from nerves and I swiftly correct them before the instructor, or anyone else for that matter, can comment.",0,1,0,0,0
eng_train_track1_115,One jumped on my leg and bit me.,0,1,1,0,1
eng_train_track1_116,Now this was even more precious to my heart.,1,0,0,0,0
eng_train_track1_117,Another bumped into my head and * buzzed * there for a moment-ACK!,0,1,0,0,1
eng_train_track1_118,That one was probably the weirdest.,0,0,0,0,1
eng_train_track1_119,"`` I zip up the tote back quickly, throw it onto my shoulder and grab up the other, larger bag.",1,0,0,0,0
eng_train_track1_120,When the dust settled I looked over at my wife and saw she was alive and I knew I was alive so I immediately had happiness in my heart.,1,0,0,0,0
eng_train_track1_121,"My eyes were open, but I couldn't see in any colors.",0,1,0,1,0
eng_train_track1_122,My fingers are toes are still tingly.,0,1,0,0,0
eng_train_track1_123,All of the sudden I hear both of them scream bloody murder.,0,1,0,0,1
eng_train_track1_124,"Nothing, so if i can illuminate the flying object, then i will have a rough estimate about its height.",0,1,0,0,1
eng_train_track1_125,"Now, I just sit there and nod my head, as I listen to the excuses people use to not make positive changes in their life.",0,0,0,0,0
eng_train_track1_126,The shock burned a part of my thumb.,0,1,0,1,1
eng_train_track1_127,"It's eyes were on the front of it's head, not the side.",0,0,0,0,1
eng_train_track1_128,"Below my feet the tinny depths of aqua-blue whispered hints of bottomlessness: come back come back I felt almost drunk staggering back across the ungiving concrete to rejoin my children on the other, shallower side of the swimming pool.",0,1,0,0,0
eng_train_track1_129,It won't close.,0,1,1,0,0
eng_train_track1_130,This was the most random/terrifying thing that has ever happened to me.,0,1,0,0,1
eng_train_track1_131,it was pure terror.,0,1,0,0,0
eng_train_track1_132,"I needed to come out of a parking lot on the side of the highway and then pull the car up to a high speed so as not to have an accident/annoy highway drivers, so I was pretty nervously sitting there, waiting for the right opportunity.",0,1,0,0,0
eng_train_track1_133,it's currently snowing big flakes outside and i'm crossing my fingers and hoping for a snow day.,1,1,0,0,0
eng_train_track1_134,It was super cool and the girl who I offered it to was super sweet (and actually sent me some tea and a lipstick in return).,1,0,0,0,1
eng_train_track1_135,so stop shoving shit down my throat and into my head.,0,1,1,0,0
eng_train_track1_136,"Sorry I missed you, call you later.",1,0,0,0,0
eng_train_track1_137,"Things were great for awhile, everything was perfect.",1,0,0,0,0
eng_train_track1_138,One time my aunt was sitting on her front porch in her bare feet and she felt a lick.,0,1,0,0,1
eng_train_track1_139,Then he drove away.,0,0,0,0,0
eng_train_track1_140,They no longer live there.,0,0,0,1,0
eng_train_track1_141,"I looked everywhere for those 5 cards, 2 ended up between the couch cushions, one underneath a cat tent, one behind the TV, and one in a different room completely, in between the bed cushions.",0,0,0,0,1
eng_train_track1_142,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,1,0,0,1
eng_train_track1_143,"Normally I need a change every year, but or the past six years or so, I've been changing my glasses every 2 since my eyes are slacking off some.",0,1,0,0,0
eng_train_track1_144,They've just closed.,0,0,1,1,1
eng_train_track1_145,"Circus clown wallpaper, circus clown figurines, paintings of circus clowns, small statues of circus clowns.",0,1,0,0,1
eng_train_track1_146,"The Tooth Fairy paid for my teeth in quarters, equivalent to my age in years.",1,0,0,0,0
eng_train_track1_147,It looks weird to say the least,0,1,0,0,1
eng_train_track1_148,I bent my knee inward.,0,0,0,0,0
eng_train_track1_149,"But early in the morning, say five or six, they all fell asleep.",0,0,0,0,0
eng_train_track1_150,"in the back of my head, i was like great.",0,0,0,0,0
eng_train_track1_151,"When I fell asleep in some strangers bedroom at some strangers party, and some stangers held my arms, my legs, and never took `` no '' for an answer, and there we were.",0,1,1,1,0
eng_train_track1_152,it got so bad that in the car on the way home i had to put the air on full blast and put my head down in the car to try to keep it cool so it didn't ich so much.,0,1,0,1,0
eng_train_track1_153,I also brought my bike to the beach and held it over my head standing in the ocean.,0,0,0,0,0
eng_train_track1_154,"A couple of years ago, I decided to go with my then girlfriend to my cities biggest music store.",1,0,0,0,0
eng_train_track1_155,"One is explainable, the other still stumps me.",0,1,0,0,1
eng_train_track1_156,The second entry of today: / my brain hurt for answering 30 math question in one day.,0,1,0,0,0
eng_train_track1_157,"I abruptly ""woke up"" again out of sleep-paralysis in a state of crazy shock.",0,1,0,0,1
eng_train_track1_158,It was psychological torture...,0,1,1,1,0
eng_train_track1_159,"I managed to shoehorn myself into the seat but my knees were jammed under the dash, I could barely use the pedals, I couldn't get any proper lock on the steering wheel, my head was poking out of the rollcage and I had no idea of what the rev limits or gears were.",0,1,0,0,0
eng_train_track1_160,They have nothing to fear.,1,0,0,0,0
eng_train_track1_161,He never was coming.,0,1,1,1,0
eng_train_track1_162,"I opened the do0r to his bedro0m and saw... Awwww... His whole ro0m was filled with red, pink and white ballo0ns...:] thats my babe tryin to walk through all of the ballo0ns... and i had to sort through all the ballo0ns and lo0k for two ballo0ns with surprises in them Then he gave me roses he made out of M & ms:], you know what i mean ( ( sorry my thumbs retarded ) )",1,1,0,0,1
eng_train_track1_163,They buy energy from 'energy generators' and sell it to you the customer.,0,0,0,0,0
eng_train_track1_164,I tried to understand the thoughts and mixed emotions that were running through my head.,0,1,0,0,0
eng_train_track1_165,"As I lay upon the table with my eyes closed awaiting a peaceful treatment, she began to talk... OH NO!",0,1,0,0,1
eng_train_track1_166,"Finally facing life responsibilities again, but my head still was on vacation.",0,1,0,0,0
eng_train_track1_167,"Shadows Falls new CD `` Threads of Life '', in my eyes, can be placed alongside '' The Art of Balance '' and `` The War Within ''.",1,0,0,0,0
eng_train_track1_168,"Then, all hell broke loose.",0,1,1,0,1
eng_train_track1_169,"I tried to punch him, but my arms were tied behind my back.",0,1,1,0,0
eng_train_track1_170,"I don't mind conditioning, but with my hip?",0,1,0,0,0
eng_train_track1_171,"They are so pillowy that when I get in the car, while she cheers at me, she actually lifts her fat pillow, let me sit next to her, and then drops her huge mountain of fat on my thigh.",0,0,0,0,0
eng_train_track1_172,"See, thats the thing, Sean wasnt an alcoholic.",0,0,0,0,1
eng_train_track1_173,*(warning: may contain baseball)*,0,0,0,0,1
eng_train_track1_174,") This event happened after the war, but before the wall went up.",0,0,0,0,1
eng_train_track1_175,my knee's are the only weight left keeping me up to abroad.,0,1,0,1,0
eng_train_track1_176,I've never met any of the other members but we all send each other x-mas cards &amp; random stuff.,1,0,0,0,1
eng_train_track1_177,Dad on the warpath.,0,1,1,0,0
eng_train_track1_178,It never came up.,0,0,0,0,1
eng_train_track1_179,"I was trying to concentrate on not falling, but I totally slipped and almost fell on my face.",0,1,0,0,1
eng_train_track1_180,"The file it was supposed to play became completely corrupt, and I had a very strange nightmare.",0,1,0,1,1
eng_train_track1_181,I barely slept that night and didn't tell anyone about it till now.,0,1,0,1,0
eng_train_track1_182,"I stopped moving, bent down with my palm out, and let the squirrel jump up on my arm and onto my shoulder.",1,0,0,0,0
eng_train_track1_183,"Now with my brain the way it is ( read: fried ), I had quite a difficult time coming up with one for this week.",0,1,0,1,0
eng_train_track1_184,"But, to his dismay, the toilet won't flush.",0,1,1,0,1
eng_train_track1_185,"Overall it was a pleasant night, with three standout incidents.",1,0,0,0,0
eng_train_track1_186,The tree starts shrinking.,0,1,0,0,1
eng_train_track1_187,"Open the bedroom door, Brandon fast asleep on the bed.",1,0,0,0,0
eng_train_track1_188,My brain screams at me as I force myself to sit on the toilet lid.,0,1,1,1,0
eng_train_track1_189,my stomach is all out of whack.,0,1,0,0,0
eng_train_track1_190,It looks like dark smelly applesauce.,0,1,0,0,1
eng_train_track1_191,"Well she's not gon na last the whole song like that, so since I'm behind her and the audience can't see below my torso pretty much, I use my hand to push down on the lid and support her weight.",1,0,0,0,0
eng_train_track1_192,"""Well I have loads, you can share mine"".",1,0,0,0,0
eng_train_track1_193,"My shoulder, neck and wrist have started aching all the time.",0,1,0,1,0
eng_train_track1_194,"You could not see a foot in front of you and I practically cried getting to the bottom because the wind and snow was literally burning my face, lol.",0,1,0,1,0
eng_train_track1_195,I'm confused about it but keep pressing.,0,1,0,0,1
eng_train_track1_196,No kids were hurt.,1,0,0,0,0
eng_train_track1_197,You know the ones?,0,0,0,0,1
eng_train_track1_198,Now I'm a mostly law abiding student and moderately successful artist.,1,0,0,0,0
eng_train_track1_199,The trap door was wide open.,0,1,0,0,1
eng_train_track1_200,"Broke up a bit later, pretty sure she was/is bipolar.",0,1,1,1,0
eng_train_track1_201,w.... l....... y the whole time because of my back.,0,1,0,1,0
eng_train_track1_202,"Tears in my eyes, too much on my mind, and deep sadness in my heart.",0,1,0,1,0
eng_train_track1_203,"Everything, and I mean everything, matched up.",1,0,0,0,0
eng_train_track1_204,The bus is gone.,0,1,0,1,1
eng_train_track1_205,None of us did.,0,0,0,0,0
eng_train_track1_206,I have many memories of him sitting across from me and sucking on a pig's foot while I wrinkled my nose in disgust.,0,0,0,0,0
eng_train_track1_207,"Chapter Nine: Honestly, when I was alive you could not have paid me to show my face at the community center.",0,0,1,1,0
eng_train_track1_208,"I whirl around, of course, and see nothing.",0,1,0,0,1
eng_train_track1_209,"Because neither of us could drive, he also had to go to dinner with the other two beforehand and meet up with me at the show.",0,1,0,0,0
eng_train_track1_210,"Man, I was wrong.",0,0,0,1,1
eng_train_track1_211,I was walking next to the truck on one of those raised cement curb bumpers when my ankle folded in half.,0,1,0,1,0
eng_train_track1_212,Not creepy but ghostly.,0,1,0,0,1
eng_train_track1_213,He looked completely lost.,0,1,0,1,0
eng_train_track1_214,"I would wake up sometime later shaking, perhaps trying to rid myself of the sleep paralysis.",0,1,0,1,0
eng_train_track1_215,"He said yes, I closed my eyes, and seeking from divine, I sang precisely two lines, describing, my wishes for him.",1,0,0,0,0
eng_train_track1_216,I did settle down and dry my eyes on my sleeve.,0,0,0,1,0
eng_train_track1_217,put a smile to my face haha.,1,0,0,0,0
eng_train_track1_218,"{{{Yeah...welcome to being 25, btw...it is awful thus far...but...SHIT at least I get to be 25!",1,1,1,1,1
eng_train_track1_219,"I was ecstatic, but the joy was fleeting.",1,0,0,1,0
eng_train_track1_220,I did not live in a building with an apartment 3H.,0,0,0,0,1
eng_train_track1_221,my neck is reversed.,0,1,0,0,0
eng_train_track1_222,"They fit the intended recipient, but are entirely too big for my feet.",0,0,0,1,0
eng_train_track1_223,The silent one looked increasingly nervous.,0,1,0,0,0
eng_train_track1_224,I was at a large rock festival.,1,0,0,0,0
eng_train_track1_225,"Callie takes attention at my tone, having probably gotten used to my mumbled thanks in response to all of the attendees who had already been by, and she places her hand protectively at the base of my spine.",1,0,0,0,0
eng_train_track1_226,"They had me in a pile, and my head was down.",0,1,0,1,0
eng_train_track1_227,More news as soon as I can get my head around it.,0,1,0,0,0
eng_train_track1_228,"I seated some where, and just about to open my story book, my eye caught a glimpse of someone standing right do nt even know... Walk to library.",0,1,0,0,1
eng_train_track1_229,I literally hid my face and my whole self.,0,1,0,1,0
eng_train_track1_230,""" It was super creepy.",0,1,0,0,1
eng_train_track1_231,W-WORST HABIT: Not washing my face before I go to bed.,0,0,0,0,0
eng_train_track1_232,The next day the drain clogged up.,0,0,1,0,0
eng_train_track1_233,"So was yesterday, and I was surprised I was able to wear my Coach's without freezing my toes off!",1,0,0,0,1
eng_train_track1_234,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track1_235,In keeping it simple and short.,0,0,0,0,0
eng_train_track1_236,so I'm stir my heart for Europe travel.,1,0,0,0,0
eng_train_track1_237,I got to babysit my grandson but my back hurt the next day.,1,0,0,1,0
eng_train_track1_238,"It cost us a lot of energy and strength, and my palms still hurt from dragging the damn suitcase, I limp when I walk from all the running and exhaustion $ but I'm home.",0,1,0,1,0
eng_train_track1_239,He also had me march in place and stop to see how my feet naturally align.,0,1,0,0,0
eng_train_track1_240,"The second time I saw her, she told me she was a registered sex offender.",0,1,1,1,1
eng_train_track1_241,"As a person diagnosed with Bipolar Disorder, I was the crazy ex-girlfriend.",0,1,0,1,0
eng_train_track1_242,"Horrible nightmares that seem real, because you recognize your surroundings as your bedroom, but they're still just nightmares.",0,1,0,1,1
eng_train_track1_243,It was hung at a very strange angle.,0,1,0,0,1
eng_train_track1_244,Anyway it was weird.,0,1,0,0,1
eng_train_track1_245,It hadn't been plugged in and cell phones keep time automatically.,0,0,0,0,1
eng_train_track1_246,The whole house and the people and the flame seemed to vanish and leave me in an endless darkness as soon as my eyes were closed.,0,1,0,1,0
eng_train_track1_247,And probably murder me.,0,1,0,0,0
eng_train_track1_248,"The hand returned, a welcoming gesture, an unwelcome sensation.",0,1,1,1,1
eng_train_track1_249,"I said, closing my eyes tightly.",0,1,0,0,0
eng_train_track1_250,I sleep facing away from my door.,0,1,0,0,0
eng_train_track1_251,eventually i fell asleep on the floor of her closet.,0,1,0,1,0
eng_train_track1_252,"Eventually, the cramps went away, but left my feet feeling sore and uncomfortable.",0,1,0,1,0
eng_train_track1_253,My feet were pretty sore and I was complaining about how I wish I could sit down.,0,1,0,1,0
eng_train_track1_254,I see that my 13 year old son's bedroom is ajar.,0,1,0,0,1
eng_train_track1_255,Then my heart dropped.,0,1,0,1,0
eng_train_track1_256,If the noise hurt *your* ears then it must have really hurt theirs.,0,1,0,0,0
eng_train_track1_257,So my leg is shaking at a million miles an hour and I turn into the target parking lot as she sort of continues to follow me.,0,1,0,0,0
eng_train_track1_258,"after the half day practice on wednesday, my arms were literally black and blue!",0,1,0,1,0
eng_train_track1_259,The spring sun was just rising and his car was already ripping down the highway.,1,1,0,0,1
eng_train_track1_260,"He saw blood and said,  ""Mommy!",0,1,0,1,1
eng_train_track1_261,That's messed up.,0,0,1,0,1
eng_train_track1_262,I've never gone back there.,0,1,0,1,0
eng_train_track1_263,This is how we found out why all freshman year we were both greeted by people we didn't know calling us the wrong name.,0,0,0,0,1
eng_train_track1_264,"It was absolutely delicious and I enjoyed every bite, trying to push guilty thoughts out of my head, although I couldn't stop thinking all afternoon about how many calories must have been in there!",1,1,0,0,0
eng_train_track1_265,There's nothing but dead air.,0,1,0,1,0
eng_train_track1_266,At least not right away.,0,0,0,0,1
eng_train_track1_267,"So when I caught this song-Kahin tho Hogi-last evening driving back home, it brought a smile to my face.",1,0,0,0,0
eng_train_track1_268,"I'm that forgotten tear That forgot to fall Yet lingers on my cheek Brush it away And it's still there Lick it up, And feel it burn your throat, Stripping it red raw.",0,1,0,1,0
eng_train_track1_269,The heroine stood beside me and reached for my hand.,0,0,0,0,0
eng_train_track1_270,"I would lay down to bed, blink, and it would be morning.",0,0,0,0,1
eng_train_track1_271,The line went dead.,0,1,0,1,1
eng_train_track1_272,"I witnessed as the age old rock tradition of holding up lighters spread across the 28,000 person deep crowd... lighting up the entire audience... the hair on my arms started to raise until I noticed that....",1,1,0,0,0
eng_train_track1_273,"I heard and felt my rib give where it was recently cracked, and I'm pretty certain it cracked again.",0,1,0,1,0
eng_train_track1_274,"My hand seemed to tremble more as I took the frail hand offered to me, feeling the protruding veins under my thumb.",0,1,0,1,0
eng_train_track1_275,"I repeatedly thought, ""I am NOT going there!"".",0,1,1,0,0
eng_train_track1_276,At times I was actually having difficulty breathing because the water was in my nose.,0,1,0,0,0
eng_train_track1_277,"I can't sing it in my head because I don't know the Japanese lyrics well enough, so it's a little frustrating.",0,1,1,0,0
eng_train_track1_278,"By Sharlyn Guthrie From the sea fate called to me, harmless ` round my ankles danced.",1,0,0,0,0
eng_train_track1_279,One season they were really nasty and management seemed to not care when we brought it to their attention.,0,0,1,1,0
eng_train_track1_280,I had a really nice boss and a kush part-time accounting job during college.,1,0,0,0,0
eng_train_track1_281,"Satan said to him, ""God will do everything in His power to destroy you.",0,1,1,1,1
eng_train_track1_282,"`` Yeah, im good now, my back has stopped bleeding $.",0,1,0,0,0
eng_train_track1_283,"pops been moved out of icu now and he's going well, but now i've sprained my wrist... stupid hockey!",0,1,1,1,0
eng_train_track1_284,"But I get beyond that tired stage, and can't close my eyes later.",0,1,0,1,0
eng_train_track1_285,I did this before brushing my teeth for bed.,0,0,0,0,0
eng_train_track1_286,Yeah it was a little embarrassing.,0,1,0,1,0
eng_train_track1_287,"So they decided to throw me a ""90s McDonalds"" Birthday party.",1,0,0,0,1
eng_train_track1_288,Finally found out that I have bad whip lash and strained the tendons in my neck.,0,1,0,1,0
eng_train_track1_289,she is an alcoholic.,0,1,0,1,0
eng_train_track1_290,"I have a temperature, stomach cramps and a rash all over my chest and trunk.",0,1,0,1,0
eng_train_track1_291,This idea has been crashing around in my head so I had no choice but to finally write something.,0,1,0,0,0
eng_train_track1_292,I certainly didn't.,0,0,0,0,0
eng_train_track1_293,"So I tried to make things as simple as possible, even though it was a pretty fancy wedding (my mom's standards).",1,0,0,0,0
eng_train_track1_294,"I got a full bottle of Vicodin for pain, and a soft cast on my wrist.",0,1,0,0,0
eng_train_track1_295,So I got my hand on the Healthy wear powder foundation in creamy beige for $ 3.45.,1,0,0,0,0
eng_train_track1_296,"As a caretaker, this freaked me out to no end.",0,1,0,0,0
eng_train_track1_297,Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,1,0,0,0,0
eng_train_track1_298,We did this like 3 times before we just decided to leave it in the closet.,0,0,0,0,0
eng_train_track1_299,"Last I heard, that other guy was homeless and dead.",0,1,0,1,1
eng_train_track1_300,Met a lot of random canadians that night.,1,0,0,0,1
eng_train_track1_301,"Police got called, guy gets taken away.",0,1,0,0,1
eng_train_track1_302,"As soon as I started climbing, my hands felt toasty warm.",1,0,0,0,0
eng_train_track1_303,"Quite full in my heart actually, for affirming this man, so lovingly, and fearlessly.",1,0,0,0,0
eng_train_track1_304,I accidentally time travelled.,1,1,0,0,1
